player,team,salary,league
Ziaire Williams,Brooklyn Nets,6250000,NBA
Day'Ron Sharpe,Brooklyn Nets,6250000,NBA
John Konchar,Utah Jazz,6165000,NBA
Taylor Hendricks,Memphis Grizzlies,6127080,NBA
Saddiq Bey,New Orleans Pelicans,6118644,NBA
Zach Edey,Memphis Grizzlies,6045000,NBA
Khaman Maluach,Phoenix Suns,6016080,NBA
Jake LaRavia,Los Angeles Lakers,6000000,NBA
Jaden Hardy,Washington Wizards,6000000,NBA
Cole Anthony,Memphis Grizzlies,5996274,NBA
Cason Wallace,Oklahoma City Thunder,5820240,NBA
Cody Williams,Utah Jazz,5742480,NBA
Cedric Coward,Memphis Grizzlies,5715120,NBA
Al Horford,Golden State Warriors,5685000,NBA
D'Angelo Russell,Washington Wizards,5685000,NBA
Tari Eason,Houston Rockets,5675766,NBA
Blake Wesley,Washington Wizards,5643732,NBA
Nicolas Batum,Los Angeles Clippers,5601600,NBA
Jett Howard,Orlando Magic,5529720,NBA
Guerschon Yabusele,Chicago Bulls,5500000,NBA
Kobe Bufkin,Brooklyn Nets,5480297,NBA
Matas Buzelis,Chicago Bulls,5455560,NBA
Noa Essengue,Chicago Bulls,5429520,NBA
Kris Dunn,Los Angeles Clippers,5426400,NBA
Dario Šarić,Detroit Pistons,5426400,NBA
Dalen Terry,New Orleans Pelicans,5399118,NBA
Paul Reed,Detroit Pistons,5335894,NBA
Dereck Lively II,Dallas Mavericks,5253360,NBA
Nikola Topić,Oklahoma City Thunder,5182920,NBA
Derik Queen,New Orleans Pelicans,5157960,NBA
Kevin Porter Jr.,Milwaukee Bucks,5134000,NBA
Moritz Wagner,Orlando Magic,5000000,NBA
Andre Drummond,Philadelphia 76ers,5000000,NBA
Nick Richards,Chicago Bulls,5000000,NBA
Gradey Dick,Toronto Raptors,4990560,NBA
Malaki Branham,Charlotte Hornets,4962033,NBA
Devin Carter,Sacramento Kings,4923720,NBA
Christian Braun,Denver Nuggets,4921797,NBA
Carter Bryant,San Antonio Spurs,4900320,NBA
Walker Kessler,Utah Jazz,4878938,NBA
Jordan Hawkins,New Orleans Pelicans,4741320,NBA
Bub Carrington,Washington Wizards,4677600,NBA
Thomas Sorber,Oklahoma City Thunder,4655040,NBA
Jose Alvarado,New York Knicks,4500000,NBA
Nikola Jović,Miami Heat,4445417,NBA
Kel'el Ware,Miami Heat,4443360,NBA
Yang Hansen,Portland Trail Blazers,4422360,NBA
Peyton Watson,Denver Nuggets,4356476,NBA
Miles McBride,New York Knicks,4333333,NBA
Keyonte George,Utah Jazz,4278960,NBA
Jared McCain,Oklahoma City Thunder,4221360,NBA
Joan Beringer,Minnesota Timberwolves,4201080,NBA
Kevin Love,Utah Jazz,4150000,NBA
Dalton Knecht,Los Angeles Lakers,4010160,NBA
Ryan Rollins,Milwaukee Bucks,4000000,NBA
Dwight Powell,Dallas Mavericks,4000000,NBA
Walter Clayton,Memphis Grizzlies,3991320,NBA
Jaime Jaquez Jr.,Miami Heat,3861600,NBA
Nolan Traoré,Brooklyn Nets,3811560,NBA
Daniss Jenkins,Detroit Pistons,3809524,NBA
Tristan Da Silva,Orlando Magic,3809520,NBA
Gary Trent Jr.,Milwaukee Bucks,3697105,NBA
Brandin Podziemski,Golden State Warriors,3687960,NBA
Svi Mykhailiuk,Utah Jazz,3675000,NBA
Kasparas Jakučionis,Miami Heat,3658800,NBA
Ja'Kobe Walter,Toronto Raptors,3638160,NBA
Gary Harris,Milwaukee Bucks,3634153,NBA
Cam Whitmore,Washington Wizards,3539760,NBA
Will Riley,Washington Wizards,3512520,NBA
Jaylon Tyson,Cleveland Cavaliers,3492480,NBA
Jaxson Hayes,Los Angeles Lakers,3449323,NBA
Dominick Barlow,Philadelphia 76ers,3415000,NBA
Noah Clowney,Brooklyn Nets,3398640,NBA
Drake Powell,Brooklyn Nets,3372240,NBA
Yves Missi,New Orleans Pelicans,3353040,NBA
Taurean Prince,Milwaukee Bucks,3303774,NBA
Dariq Whitehead,Brooklyn Nets,3262560,NBA
Asa Newell,Atlanta Hawks,3237480,NBA
DaRon Holmes,Denver Nuggets,3218760,NBA
Tony Bradley,Indiana Pacers,3204816,NBA
Kris Murray,Portland Trail Blazers,3132000,NBA
Nique Clifford,Sacramento Kings,3108120,NBA
Nassir Little,Phoenix Suns,3107143,NBA
AJ Johnson,Dallas Mavericks,3090480,NBA
De'Anthony Melton,Golden State Warriors,3080921,NBA
Mason Plumlee,Oklahoma City Thunder,3022108,NBA
Ajay Mitchell,Oklahoma City Thunder,3000000,NBA
Kyle Filipowski,Utah Jazz,3000000,NBA
Julian Champagnie,San Antonio Spurs,3000000,NBA
Jase Richardson,Orlando Magic,2983320,NBA
Kyshawn George,Washington Wizards,2966760,NBA
Marcus Sasser,Detroit Pistons,2886720,NBA
Ben Saraf,Brooklyn Nets,2884560,NBA
Pacôme Dadiet,New York Knicks,2847600,NBA
Danny Wolf,Brooklyn Nets,2801280,NBA
Ben Sheppard,Indiana Pacers,2790720,NBA
Hugo González,Boston Celtics,2783880,NBA
Liam McNeeley,Charlotte Hornets,2763960,NBA
Dillon Jones,Washington Wizards,2753280,NBA
Yanic Konan Niederhäuser,Los Angeles Clippers,2743800,NBA
Nick Smith Jr.,Charlotte Hornets,2710680,NBA
Brice Sensabaugh,Utah Jazz,2693760,NBA
Julian Strawther,Denver Nuggets,2674200,NBA
Terrence Shannon Jr.,Minnesota Timberwolves,2674080,NBA
Ryan Dunn,Phoenix Suns,2657760,NBA
Kobe Brown,Indiana Pacers,2654880,NBA
Isaiah Collier,Utah Jazz,2638200,NBA
Baylor Scheierman,Boston Celtics,2619000,NBA
Xavier Tillman Sr.,Charlotte Hornets,2546675,NBA
Cam Spencer,Memphis Grizzlies,2537989,NBA
Luka Garza,Boston Celtics,2461463,NBA
Jericho Sims,Milwaukee Bucks,2461463,NBA
Trendon Watford,Philadelphia 76ers,2461463,NBA
Sandro Mamukelashvili,Toronto Raptors,2461463,NBA
Dru Smith,Miami Heat,2378870,NBA
Josh Minott,Brooklyn Nets,2378870,NBA
Rayan Rupert,Portland Trail Blazers,2353647,NBA
Justin Champagnie,Washington Wizards,2349578,NBA
Jay Huff,Indiana Pacers,2349578,NBA
Neemias Queta,Boston Celtics,2349578,NBA
Vít Krejčí,Portland Trail Blazers,2349578,NBA
Keon Johnson,Brooklyn Nets,2349578,NBA
Jordan Goodwin,Phoenix Suns,2349578,NBA
A.J. Green,Milwaukee Bucks,2301587,NBA
Keon Ellis,Cleveland Cavaliers,2301587,NBA
Vince Williams Jr.,Utah Jazz,2301587,NBA
Chris Paul,Toronto Raptors,2296274,NBA
Chris Boucher,Utah Jazz,2296274,NBA
Anthony Gill,Washington Wizards,2296274,NBA
Danté Exum,Washington Wizards,2296274,NBA
Josh Okogie,Houston Rockets,2296274,NBA
Jeff Green,Houston Rockets,2296274,NBA
Aaron Holiday,Houston Rockets,2296274,NBA
Jae'Sean Tate,Houston Rockets,2296274,NBA
Gary Payton II,Golden State Warriors,2296274,NBA
Javonte Green,Detroit Pistons,2296274,NBA
Tim Hardaway Jr.,Denver Nuggets,2296274,NBA
Bruce Brown,Denver Nuggets,2296274,NBA
Marvin Bagley III,Dallas Mavericks,2296274,NBA
Thomas Bryant,Cleveland Cavaliers,2296274,NBA
Larry Nance Jr.,Cleveland Cavaliers,2296274,NBA
Keaton Wallace,Atlanta Hawks,2296274,NBA
Bones Hyland,Minnesota Timberwolves,2296274,NBA
Joe Ingles,Minnesota Timberwolves,2296274,NBA
Thanasis Antetokounmpo,Milwaukee Bucks,2296274,NBA
Jordan McLaughlin,San Antonio Spurs,2296274,NBA
Jock Landale,Atlanta Hawks,2296274,NBA
Eric Gordon,Memphis Grizzlies,2296274,NBA
Doug McDermott,Sacramento Kings,2296274,NBA
Russell Westbrook,Sacramento Kings,2296274,NBA
Landry Shamet,New York Knicks,2296274,NBA
Kyle Lowry,Philadelphia 76ers,2296274,NBA
Collin Gillespie,Phoenix Suns,2296274,NBA
Amir Coffey,Phoenix Suns,2296274,NBA
Bismack Biyombo,San Antonio Spurs,2296274,NBA
Drew Eubanks,Sacramento Kings,2296274,NBA
Ryan Kalkbrenner,Charlotte Hornets,2296274,NBA
Sion James,Charlotte Hornets,2296274,NBA
Garrett Temple,Toronto Raptors,2296274,NBA
Lindy Waters III,San Antonio Spurs,2296274,NBA
JD Davison,Boston Celtics,2270735,NBA
Scotty Pippen Jr.,Memphis Grizzlies,2270735,NBA
Brandon Williams,Dallas Mavericks,2270735,NBA
Moussa Diabaté,Charlotte Hornets,2270735,NBA
DeAndre Jordan,New Orleans Pelicans,2269880,NBA
Duop Reath,Atlanta Hawks,2221677,NBA
Mouhamed Gueye,Atlanta Hawks,2221677,NBA
Craig Porter Jr.,Cleveland Cavaliers,2221677,NBA
Leonard Miller,Chicago Bulls,2221677,NBA
Toumani Camara,Portland Trail Blazers,2221677,NBA
Hunter Tyson,Brooklyn Nets,2221677,NBA
Jalen Wilson,Brooklyn Nets,2221677,NBA
Jordan Walsh,Boston Celtics,2221677,NBA
Trayce Jackson-Davis,Toronto Raptors,2221677,NBA
Julian Phillips,Minnesota Timberwolves,2221677,NBA
GG Jackson II,Memphis Grizzlies,2221677,NBA
Gui Santos,Golden State Warriors,2221677,NBA
Jalen Pickett,Denver Nuggets,2221677,NBA
Andre Jackson Jr.,Milwaukee Bucks,2221677,NBA
JaVale McGee,Dallas Mavericks,2208856,NBA
Tyler Kolek,New York Knicks,2191897,NBA
Tyrese Martin,Brooklyn Nets,2191897,NBA
Jaylen Clark,Minnesota Timberwolves,2191897,NBA
Precious Achiuwa,Sacramento Kings,2111516,NBA
Justin Edwards,Philadelphia 76ers,2048494,NBA
Nigel Hayes-Davis,Milwaukee Bucks,2048494,NBA
