Team,Team_Code,Player_Name,Position,Salary,Salary_Amount
Connecticut Sun,CON,Jaelyn Brown,G,"$42,757",42757.0
Seattle Storm,SEA,Space,N/A,"$42,420",42420.0
Seattle Storm,SEA,Tiffany Mitchell,G,"$42,397",42397.0
Las Vegas Aces,LV,Tiffany Mitchell,G,"$40,789",40789.0
Minnesota Lynx,MIN,Alissa Pili,F,"$37,769",37769.0
New York Liberty,NY,Marquesha Davis,G,"$36,178",36178.0
Dallas Wings,DAL,Haley Jones,G,"$36,094",36094.0
Phoenix Mercury,PHX,Megan McConnell,G,"$31,096",31096.0
Phoenix Mercury,PHX,Murjanatu Musa,C,"$31,096",31096.0
Las Vegas Aces,LV,Elizabeth Kitley,C,"$27,940",27940.0
Connecticut Sun,CON,Kariata Diaby,C,"$27,764",27764.0
Chicago Sky,CHI,Space,N/A,"$27,473",27473.0
Chicago Sky,CHI,Sevgi Uzun,G,"$25,543",25543.0
Connecticut Sun,CON,Haley Peters,F,"$25,173",25173.0
Indiana Fever,IND,Chloe Bibby,F,"$23,322",23322.0
Dallas Wings,DAL,Kaila Charles,G,"$21,198",21198.0
Phoenix Mercury,PHX,Kiana Williams,G,"$21,101",21101.0
Connecticut Sun,CON,Diamond DeShields,G,"$20,294",20294.0
Los Angeles Sparks,LA,Space,N/A,"$20,066",20066.0
Minnesota Lynx,MIN,Jaylyn Sherrod,G,"$18,880",18880.0
Las Vegas Aces,LV,Joyner Holmes,F,"$17,223",17223.0
Los Angeles Sparks,LA,Liatu King,F,"$16,659",16659.0
Golden State Valkyries,GS,Bree Hall,G,"$16,659",16659.0
Las Vegas Aces,LV,Crystal Bradford,G,"$16,103",16103.0
Indiana Fever,IND,Space,N/A,"$15,970",15970.0
Atlanta Dream,ATL,Sika Koné,F,"$15,548",15548.0
Golden State Valkyries,GS,Kyara Linskens,C,"$14,437",14437.0
Indiana Fever,IND,Shey Peddy,G,"$13,911",13911.0
Indiana Fever,IND,Odyssey Sims,G,"$13,911",13911.0
Golden State Valkyries,GS,Kaila Charles,G,"$13,911",13911.0
Golden State Valkyries,GS,Kaila Charles,G,"$13,911",13911.0
Seattle Storm,SEA,Zia Cooke,G,"$13,882",13882.0
Phoenix Mercury,PHX,Kiana Williams,G,"$12,772",12772.0
Minnesota Lynx,MIN,Marieme Badiane,C,"$12,216",12216.0
Washington Mystics,WAS,Madison Scott,G,"$11,661",11661.0
Minnesota Lynx,MIN,Camryn Taylor,F,"$11,661",11661.0
Dallas Wings,DAL,Grace Berger,G,"$11,661",11661.0
Los Angeles Sparks,LA,Alissa Pili,F,"$11,661",11661.0
Connecticut Sun,CON,Robyn Parks,G,"$11,106",11106.0
Phoenix Mercury,PHX,Sevgi Uzun,G,"$11,106",11106.0
Los Angeles Sparks,LA,Alissa Pili,F,"$10,550",10550.0
Golden State Valkyries,GS,Chloe Bibby,F,"$9,995",9995.0
Los Angeles Sparks,LA,Shey Peddy,G,"$9,440",9440.0
Indiana Fever,IND,Aerial Powers,F,"$9,274",9274.0
Minnesota Lynx,MIN,Camryn Taylor,F,"$7,949",7949.0
Indiana Fever,IND,Odyssey Sims,G,"$7,949",7949.0
Atlanta Dream,ATL,Dead Money,N/A,"$7,774",7774.0
Dallas Wings,DAL,Amy Okonkwo,F,"$7,774",7774.0
Connecticut Sun,CON,Mamignan Touré,F,"$7,774",7774.0
Dallas Wings,DAL,Kaila Charles,G,"$6,956",6956.0
Dallas Wings,DAL,Christyn Williams,G,"$6,802",6802.0
Indiana Fever,IND,Aari McDonald,G,"$6,459",6459.0
Phoenix Mercury,PHX,Haley Jones,G,"$5,553",5553.0
Dallas Wings,DAL,Serena Sundell,G,"$5,136",5136.0
Dallas Wings,DAL,Haley Jones,G,"$4,998",4998.0
Dallas Wings,DAL,Liatu King,F,"$4,998",4998.0
Indiana Fever,IND,Bree Hall,G,"$4,442",4442.0
Washington Mystics,WAS,Madison Scott,G,"$4,442",4442.0
Indiana Fever,IND,Aerial Powers,F,"$3,975",3975.0
Phoenix Mercury,PHX,Alexis Prince,G,"$3,975",3975.0
Minnesota Lynx,MIN,Yvonne Anderson,G,"$3,887",3887.0
Minnesota Lynx,MIN,Yvonne Anderson,G,"$3,887",3887.0
Chicago Sky,CHI,Marquesha Davis,G,"$3,887",3887.0
Atlanta Dream,ATL,Kamiah Smalls,G,"$3,887",3887.0
Golden State Valkyries,GS,Elizabeth Kitley,C,"$3,887",3887.0
